time,T.air,CO2.ppm,wspd,RAD,VPD,PAR,rain,year,sort
1,5.19,380,0.09,0.06,0.08,0.12,0,2011,1
1.01,5.03,380,0.07,0.13,0.06,0.27,0,2011,1
1.02,4.99,380,1.08,0.17,0.06,0.35,0,2011,1
1.03,5.21,380,0.2,0.15,0.07,0.31,0,2011,1
1.04,5.07,380,0.05,0.19,0.06,0.39,0,2011,1
1.05,5.05,380,0.12,0.09,0.05,0.19,0,2011,1
1.06,5.03,380,0.23,0.15,0.04,0.31,0,2011,1
1.07,5.09,380,0.19,0.11,0.04,0.23,0,2011,1
1.08,5.11,380,0.19,0.09,0.04,0.19,0,2011,1
1.09,4.83,380,0.37,0.02,0.04,0.04,0,2011,1
1.1,4.91,380,0.13,0.28,0.03,0.58,0,2011,1
1.11,5.03,380,0.15,0.13,0.03,0.27,0,2011,1
1.12,5.24,380,0.26,0.11,0.05,0.23,0,2011,1
1.14,5.21,380,0.15,0.09,0.05,0.19,0,2011,1
1.15,5.01,380,0.07,0.11,0.03,0.23,0,2011,1
1.16,4.91,380,0.11,0.13,0.03,0.27,0,2011,1
1.17,4.93,380,0.06,0.19,0.02,0.39,0,2011,1
1.18,4.94,380,0.24,0.02,0.02,0.04,0,2011,1
1.19,4.98,380,0.2,0.04,0.02,0.08,0,2011,1
1.2,4.97,380,0.23,0.02,0.02,0.04,0,2011,1
1.21,4.97,380,0.18,0.11,0.02,0.23,0,2011,1
1.22,4.94,380,0.41,0.04,0.02,0.08,0,2011,1
1.23,4.92,380,0.54,0.04,0.02,0.08,0,2011,1
1.24,4.87,380,0.05,0.09,0.01,0.19,0,2011,1
1.25,4.82,380,0.04,0.09,0.01,0.19,0,2011,1
1.26,4.75,380,0.22,0.06,0.01,0.12,0,2011,1
1.27,4.73,380,0.09,0.06,0.01,0.12,0,2011,1
1.28,4.72,380,0.14,0.04,0.01,0.08,0,2011,1
1.29,4.72,380,0.21,0.04,0.01,0.08,0,2011,1
1.3,4.66,380,0.21,0.02,0.01,0.04,0,2011,1
1.31,4.67,380,0.06,0.88,0.01,1.82,0,2011,1
1.32,4.63,380,0.23,4.49,0.01,9.29,0,2011,1
1.33,4.63,380,0.31,11.61,0,24.03,0,2011,1
1.34,4.79,380,0.4,11.61,0,24.03,0,2011,1
1.35,4.86,380,0,20.21,0.01,41.83,0,2011,1
1.36,4.96,380,0.11,28.19,0.01,58.35,0,2011,1
1.38,5.08,380,0.19,33.71,0.01,69.78,0,2011,1
1.39,5.08,380,0.14,44.63,0.01,92.38,0,2011,1
1.4,5.29,380,0.26,81.2,0.01,168.08,0,2011,1
1.41,5.31,380,0.36,56.41,0.02,116.77,0,2011,1
1.42,5.4,380,0.53,95.2,0.02,197.06,0,2011,1
1.43,5.48,380,0.75,102.5,0.02,212.18,0,2011,1
1.44,5.54,380,0.7,104.6,0.03,216.52,0,2011,1
1.45,5.52,380,0.6,120.6,0.03,249.64,0,2011,1
1.46,5.69,380,0.95,117.6,0.05,243.43,0,2011,1
1.47,5.82,380,0.72,116.6,0.08,241.36,0,2011,1
1.48,6.08,380,0.75,157.1,0.1,325.20,0,2011,1
1.49,6.03,380,1.09,92.4,0.09,191.27,0,2011,1
1.5,6.14,380,0.95,119,0.09,246.33,0,2011,1
1.51,6.22,380,0.4,73.76,0.09,152.68,0,2011,1
1.52,6.07,380,1.03,74.19,0.08,153.57,0,2011,1
1.53,6.14,380,0.59,135.8,0.1,281.11,0,2011,1
1.54,6.52,380,0.78,125.5,0.1,259.79,0,2011,1
1.55,6.07,380,1.28,81,0.06,167.67,0,2011,1
1.56,5.92,380,0.73,89.5,0.05,185.27,0,2011,1
1.57,5.97,380,0.6,122.5,0.06,253.58,0,2011,1
1.58,6.15,380,0.58,126.7,0.06,262.27,0,2011,1
1.59,6.2,380,1.01,99.8,0.06,206.59,0,2011,1
1.6,6.02,380,1.1,51.23,0.05,106.05,0,2011,1
1.61,5.6,380,1.08,16.77,0.03,34.71,0,2011,1
1.62,5.39,380,1.06,12.88,0.02,26.66,0,2011,1
1.64,5.21,380,0.92,16.43,0.02,34.01,0,2011,1
1.65,5.12,380,0.29,22.6,0.01,46.78,0,2011,1
1.66,5.11,380,0.18,29.52,0.01,61.11,0,2011,1
1.67,5.09,380,0.66,8.62,0.01,17.84,0,2011,1
1.68,4.97,380,0.75,10.06,0.01,20.82,0,2011,1
1.69,4.88,380,0.16,9.03,0.01,18.69,0,2011,1
1.7,4.85,380,0.83,1.05,0.01,2.17,0,2011,1
1.71,4.65,380,0.82,0.22,0.01,0.46,0,2011,1
1.72,4.54,380,0.44,0.09,0.01,0.19,0,2011,1
